"","Tank","Date","Avg.SL.mm","birth.date","diff.birthdate.earliest.obs","Pop","Food.Treatment","Time.Mother.in.Food.Treat","Mother.SL.mm","Brood.Size","pop.treat","mom.sl.2"
"3","03-PSO-H","2019-06-24",11.17,2019-06-24,0,"PSO","H",0,39,3,"PSO.H",39
"4","04-PSO-H","2019-08-07",8.55969230769231,2019-08-07,0,"PSO","H",44,45,40,"PSO.H",45
"9","11-PSO-H","2019-07-09",9.7996,2019-07-09,0,"PSO","H",15,55,20,"PSO.H",55
"13","17-PSO-L","2019-07-08",10.97175,2019-07-08,0,"PSO","L",14,35,6,"PSO.L",35
"15","19-PSO-H","2019-07-24",9.19946666666667,2019-07-24,0,"PSO","H",30,42,23,"PSO.H",42
"16","20-PSO-H","2019-09-26",9.4434,2019-09-25,1,"PSO","H",93,49,55,"PSO.H",49
"19","23-PSO-H","2019-06-29",10.1306363636364,2019-06-29,0,"PSO","H",5,44,13,"PSO.H",44
"20","24-PSO-H","2019-08-06",9.2966,2019-08-06,0,"PSO","H",43,50,34,"PSO.H",50
"23","30-PSO-L","2019-08-27",9.95746666666667,2019-08-27,0,"PSO","L",21,45,25,"PSO.L",45
"24","31-PSO-H","2019-07-19",10.6724666666667,2019-07-19,0,"PSO","H",11,49,26,"PSO.H",49
"25","32-PSO-L","2019-07-03",10.4002777777778,2019-07-02,1,"PSO","L",8,48,9,"PSO.L",48
"26","33-PSO-L","2019-10-01",9.417,2019-10-01,0,"PSO","L",99,41,7,"PSO.L",41
"28","39-PSO-H","2019-09-16",10.3211111111111,2019-09-16,0,"PSO","H",84,40,9,"PSO.H",40
"33","48-PSO-H","2019-07-11",10.4308,2019-07-11,0,"PSO","H",1,NA,5,"PSO.H",42.8235294117647
"36","54-PSO-L","2019-08-19",9.919,2019-08-19,0,"PSO","L",41,35,9,"PSO.L",35
"37","56-PSO-H","2019-08-27",10.142,2019-08-27,0,"PSO","H",64,43,6,"PSO.H",43
"38","57-PSO-L","2019-08-19",9.89166666666667,2019-08-19,0,"PSO","L",56,29,6,"PSO.L",29
"39","58-PSO-H-2ndBrood","2019-08-03",8.668,2019-08-03,0,"PSO","H",40,39,26,"PSO.H",39
"1","01-BON-L","2019-07-08",9.7971,2019-07-08,0,"BON","L",14,NA,22,"BON.L",48.4444444444444
"2","02-BON-L","2019-06-21",9.01775,2019-06-21,0,"BON","L",0,NA,12,"BON.L",48.4444444444444
"5","06-BON-H","2019-08-08",8.9534,2019-08-08,0,"BON","H",28,57,42,"BON.H",57
"6","07-BON-H","2019-07-22",8.24633333333333,2019-07-22,0,"BON","H",28,45,26,"BON.H",45
"7","09-BON-L","2019-06-21",10.7811428571429,2019-06-21,0,"BON","L",0,NA,14,"BON.L",48.4444444444444
"8","10-BON-H","2019-08-20",8.97906666666667,2019-08-20,0,"BON","H",57,49,17,"BON.H",49
"10","12-BON-H","2019-06-22",9.37032,2019-06-22,0,"BON","H",0,66,25,"BON.H",66
"11","13-BON-H","2019-07-03",9.26141666666667,2019-07-02,1,"BON","H",8,46,6,"BON.H",46
"12","14-BON-H","2019-07-24",8.61518181818182,2019-07-24,0,"BON","H",30,35,11,"BON.H",35
"14","18-BON-L","2019-07-08",10.3502142857143,2019-07-08,0,"BON","L",14,45,7,"BON.L",45
"17","21-BON-H","2019-06-26",9.244125,2019-06-26,0,"BON","H",2,NA,8,"BON.H",48.4444444444444
"18","22-BON-H","2019-06-27",9.80626666666667,2019-06-27,0,"BON","H",3,67,48,"BON.H",67
"21","27-BON-L","2019-06-27",10.0616,2019-06-27,0,"BON","L",3,45,5,"BON.L",45
"22","29-BON-H","2019-07-03",10.4844285714286,2019-07-02,1,"BON","H",8,46,7,"BON.H",46
"27","35-BON-L","2019-06-30",10.6524333333333,2019-06-30,0,"BON","L",6,65,33,"BON.L",65
"29","40-BON-L-2ndBrood","2019-08-15",9.1709,2019-08-15,0,"BON","L",35,37,11,"BON.L",37
"30","41-BON-H","2019-08-05",7.91148148148148,2019-08-05,0,"BON","H",42,49,72,"BON.H",49
"31","43-BON-L","2019-07-28",8.68478571428571,2019-07-28,0,"BON","L",34,42,17,"BON.L",42
"32","47-BON-H","2019-08-12",8.5558125,2019-08-12,0,"BON","H",49,46,17,"BON.H",46
"34","52-BON-H-2ndBrood","2019-07-29",8.10973333333333,2019-07-29,0,"BON","H",35,47,38,"BON.H",47
"35","53-BON-L","2019-07-16",9.26686666666667,2019-07-16,0,"BON","L",22,46,18,"BON.L",46
"40","60-BON-L","2019-08-05",8.75885185185185,2019-08-05,0,"BON","L",42,39,15,"BON.L",39
